@relation transactions-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.StringToNominal-R6-weka.filters.unsupervised.attribute.StringToNominal-R5

@attribute account_id numeric
@attribute days numeric
@attribute amount numeric
@attribute balance numeric
@attribute k_symbol {'INTEREST CREDITED','HOUSEHOLD PAYMENT','PAYMENT FOR STATEMENT','LOAN PAYMENT','OLD AGE PENSION',INSURRANCE,'SANCTION INTEREST IF NEG BAL'}
@attribute operation {'OTHER','REMITTED TO ANOTHER BANK','CASH WITHDRAWAL','FROM ANOTHER BANK'}
@attribute type {'CREDIT','WITHDRAWAL'}

@data
3372,0,178.100006,39382.800781,'INTEREST CREDITED','OTHER','CREDIT'
7181,1,5030,67251.703125,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
3939,16,14.6,24614.599609,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
7099,8,528,77367.796875,INSURRANCE,'REMITTED TO ANOTHER BANK','WITHDRAWAL'
1548,18,14.6,13280.400391,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
1548,19,89.699997,22113.599609,'INTEREST CREDITED','OTHER','CREDIT'
1940,0,61.900002,13999.299805,'INTEREST CREDITED','OTHER','CREDIT'
3075,6,5054,24255,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
1425,13,4069,55491.601563,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
1425,13,4069,45270,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
744,5,5740,25827.599609,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
2901,26,14.6,28886,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
117,0,73,18735.599609,'INTEREST CREDITED','OTHER','CREDIT'
2613,16,14.6,21188.099609,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2613,0,54.599998,11066.700195,'INTEREST CREDITED','OTHER','CREDIT'
2166,18,14.6,23601.599609,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2621,23,14.6,18992,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
1469,6,6228,37773.199219,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
1469,20,14.6,30344.800781,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
4260,19,14.6,28541.900391,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2155,0,57.5,14041.599609,'INTEREST CREDITED','OTHER','CREDIT'
2894,31,14.6,84819,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
5428,12,7281.299805,61383.699219,'LOAN PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
8261,0,79.599998,30457.900391,'INTEREST CREDITED','OTHER','CREDIT'
2916,23,14.6,32976.398438,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3167,31,14.6,60334.398438,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
5387,20,14.6,3712.300049,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2865,20,14.6,31369.5,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3469,15,14.6,30204.099609,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2591,7,3301,19406.800781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
2345,17,14.6,32662.099609,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
782,31,193.699997,49996,'INTEREST CREDITED','OTHER','CREDIT'
2715,0,75.300003,18798.400391,'INTEREST CREDITED','OTHER','CREDIT'
3347,8,2624,23792.5,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
3053,12,3790,48920.199219,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
