@relation transactions-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.StringToNominal-R6-weka.filters.unsupervised.attribute.StringToNominal-R5

@attribute account_id numeric
@attribute days numeric
@attribute amount numeric
@attribute balance numeric
@attribute k_symbol {'INTEREST CREDITED','HOUSEHOLD PAYMENT','PAYMENT FOR STATEMENT','LOAN PAYMENT','OLD AGE PENSION',INSURRANCE,'SANCTION INTEREST IF NEG BAL'}
@attribute operation {'OTHER','REMITTED TO ANOTHER BANK','CASH WITHDRAWAL','FROM ANOTHER BANK'}
@attribute type {'CREDIT','WITHDRAWAL'}

@data
2713,0,160.399994,40121.800781,'INTEREST CREDITED','OTHER','CREDIT'
1863,0,170.5,37930.101563,'INTEREST CREDITED','OTHER','CREDIT'
3733,9,11123,52973.5,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
1765,0,78.900002,17861.300781,'INTEREST CREDITED','OTHER','CREDIT'
1580,28,14.6,30123.300781,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
7099,8,528,66284.898438,INSURRANCE,'REMITTED TO ANOTHER BANK','WITHDRAWAL'
1548,0,72.300003,17973.900391,'INTEREST CREDITED','OTHER','CREDIT'
1193,23,14.6,18349.099609,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3305,12,22,15569.299805,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
3655,7,1124,17592.900391,INSURRANCE,'REMITTED TO ANOTHER BANK','WITHDRAWAL'
7795,12,6202,94968.703125,'LOAN PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
1425,0,204.300003,47001.699219,'INTEREST CREDITED','OTHER','CREDIT'
744,18,14.6,18861.599609,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
5072,8,1065,38199.398438,INSURRANCE,'REMITTED TO ANOTHER BANK','WITHDRAWAL'
4727,1,3580,45184.800781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
2353,17,14.6,38125.5,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2621,23,14.6,11203.799805,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
9548,8,9613,41490.800781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
1469,0,96.699997,18335,'INTEREST CREDITED','OTHER','CREDIT'
3176,1,2464,18128.199219,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
7231,31,14.6,76059.101563,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
7176,5,6110,53981.300781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
718,3,6041,69756.398438,INSURRANCE,'REMITTED TO ANOTHER BANK','WITHDRAWAL'
718,0,246.300003,83653,'INTEREST CREDITED','OTHER','CREDIT'
2894,31,14.6,53292.300781,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
5372,30,14.6,73001.101563,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
4287,30,14.6,23226.900391,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3136,14,2655,36160.300781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
3171,7,4848,21521,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
2865,0,94.300003,13856.599609,'INTEREST CREDITED','OTHER','CREDIT'
219,0,217.199997,42290.699219,'INTEREST CREDITED','OTHER','CREDIT'
2673,6,1759,29129.300781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
2673,6,1759,46336.199219,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
