@relation transactions-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.StringToNominal-R6-weka.filters.unsupervised.attribute.StringToNominal-R5

@attribute account_id numeric
@attribute days numeric
@attribute amount numeric
@attribute balance numeric
@attribute k_symbol {'INTEREST CREDITED','HOUSEHOLD PAYMENT','PAYMENT FOR STATEMENT','LOAN PAYMENT','OLD AGE PENSION',INSURRANCE,'SANCTION INTEREST IF NEG BAL'}
@attribute operation {'OTHER','REMITTED TO ANOTHER BANK','CASH WITHDRAWAL','FROM ANOTHER BANK'}
@attribute type {'CREDIT','WITHDRAWAL'}

@data
1863,24,14.6,39702.699219,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2302,7,1989,26741.800781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
3733,0,365.600006,70076.703125,'INTEREST CREDITED','OTHER','CREDIT'
4650,18,14.6,15403.799805,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3939,0,99.099998,23770.400391,'INTEREST CREDITED','OTHER','CREDIT'
660,0,152.600006,41337.300781,'INTEREST CREDITED','OTHER','CREDIT'
893,30,153.899994,42648.300781,'INTEREST CREDITED','OTHER','CREDIT'
53,19,14.6,19771,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2747,0,111.599998,25467,'INTEREST CREDITED','OTHER','CREDIT'
2524,9,6263,15423.5,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
5546,31,14.6,30621.5,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
214,0,50.099998,12390,'INTEREST CREDITED','OTHER','CREDIT'
4424,0,131.899994,33899.699219,'INTEREST CREDITED','OTHER','CREDIT'
9833,18,14.6,45268.898438,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2107,0,119,24184.099609,'INTEREST CREDITED','OTHER','CREDIT'
1898,30,14.6,30626.199219,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
1072,30,134.100006,33938.601563,'INTEREST CREDITED','OTHER','CREDIT'
3167,30,14.6,42744.898438,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
5387,0,143.600006,32654.199219,'INTEREST CREDITED','OTHER','CREDIT'
695,16,14.6,10491.900391,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
475,17,14.6,14904,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3697,9,300,34775.5,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
2305,11,2300,8485.400391,'HOUSEHOLD PAYMENT','CASH WITHDRAWAL','WITHDRAWAL'
3053,12,3790,50766.398438,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
3053,19,14.6,66428.101563,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
976,5,5244,31230.199219,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
3474,0,1047,19239,INSURRANCE,'REMITTED TO ANOTHER BANK','WITHDRAWAL'
1899,1,3081,19237.199219,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
8856,0,351,94394.601563,'INTEREST CREDITED','OTHER','CREDIT'
6699,0,241.699997,60980.5,'INTEREST CREDITED','OTHER','CREDIT'
9192,31,14.6,61046.601563,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3017,5,3019,34676.300781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
874,5,1053,32003.099609,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
1154,22,30,62744.699219,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
925,9,5395,34502.699219,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
5991,3,1272,47520.898438,'LOAN PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
2099,0,400.799988,68398.398438,'INTEREST CREDITED','OTHER','CREDIT'
2099,0,268.700012,53826.5,'INTEREST CREDITED','OTHER','CREDIT'
3467,9,40,45871.300781,INSURRANCE,'REMITTED TO ANOTHER BANK','WITHDRAWAL'
3467,9,40,80180.796875,INSURRANCE,'REMITTED TO ANOTHER BANK','WITHDRAWAL'
2974,0,200.100006,50280.699219,'INTEREST CREDITED','OTHER','CREDIT'
623,17,14.6,15918.400391,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3422,6,9212,19299.5,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
8225,0,5.2,2943.100098,'SANCTION INTEREST IF NEG BAL','CASH WITHDRAWAL','WITHDRAWAL'
535,18,14.6,43384.800781,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2980,21,14.6,17617.900391,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2256,8,3152,13204.400391,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
2037,18,14.6,35203.300781,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
857,1,3019,14445.200195,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
2471,1,363,93251,INSURRANCE,'REMITTED TO ANOTHER BANK','WITHDRAWAL'
423,0,78.400002,18937.5,'INTEREST CREDITED','OTHER','CREDIT'
1245,0,205,50580.199219,'INTEREST CREDITED','OTHER','CREDIT'
619,17,30,42424.898438,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3601,9,1794,30667.300781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
