@relation transactions-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.StringToNominal-R6-weka.filters.unsupervised.attribute.StringToNominal-R5

@attribute account_id numeric
@attribute days numeric
@attribute amount numeric
@attribute balance numeric
@attribute k_symbol {'INTEREST CREDITED','HOUSEHOLD PAYMENT','PAYMENT FOR STATEMENT','LOAN PAYMENT','OLD AGE PENSION',INSURRANCE,'SANCTION INTEREST IF NEG BAL'}
@attribute operation {'OTHER','REMITTED TO ANOTHER BANK','CASH WITHDRAWAL','FROM ANOTHER BANK'}
@attribute type {'CREDIT','WITHDRAWAL'}

@data
2713,0,90.599998,21456.099609,'INTEREST CREDITED','OTHER','CREDIT'
2453,6,2190,22323.300781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
2302,0,205,43239.699219,'INTEREST CREDITED','OTHER','CREDIT'
1580,0,81.599998,34198.5,'INTEREST CREDITED','OTHER','CREDIT'
3939,19,14.6,24283,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3939,16,14.6,25893.599609,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
23,0,177.800003,37529.199219,'INTEREST CREDITED','OTHER','CREDIT'
23,5,5807,56961,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
1548,19,14.6,17473.199219,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
1940,24,14.6,16514.300781,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
1940,2,3106,19114.400391,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
3655,7,1124,33213.300781,INSURRANCE,'REMITTED TO ANOTHER BANK','WITHDRAWAL'
7795,30,14.6,64858.398438,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
1425,0,134.399994,32754.099609,'INTEREST CREDITED','OTHER','CREDIT'
