@relation transactions-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.StringToNominal-R6-weka.filters.unsupervised.attribute.StringToNominal-R5

@attribute account_id numeric
@attribute days numeric
@attribute amount numeric
@attribute balance numeric
@attribute k_symbol {'INTEREST CREDITED','HOUSEHOLD PAYMENT','PAYMENT FOR STATEMENT','LOAN PAYMENT','OLD AGE PENSION',INSURRANCE,'SANCTION INTEREST IF NEG BAL'}
@attribute operation {'OTHER','REMITTED TO ANOTHER BANK','CASH WITHDRAWAL','FROM ANOTHER BANK'}
@attribute type {'CREDIT','WITHDRAWAL'}

@data
9640,18,14.6,29615.900391,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2302,7,1989,22068.099609,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
4650,7,6700,18896,'LOAN PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
4650,5,554,46672.800781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
7181,24,100,32469.699219,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3939,12,5177,34446.898438,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
3655,31,139.600006,39196.101563,'INTEREST CREDITED','OTHER','CREDIT'
1425,17,14.6,33360.101563,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
5072,0,276.899994,63499.199219,'INTEREST CREDITED','OTHER','CREDIT'
3208,13,12200,-1724.099976,'HOUSEHOLD PAYMENT','CASH WITHDRAWAL','WITHDRAWAL'
4727,18,14.6,65125.601563,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2442,0,73.5,18494.699219,'INTEREST CREDITED','OTHER','CREDIT'
2166,7,5263,23280.5,INSURRANCE,'REMITTED TO ANOTHER BANK','WITHDRAWAL'
5891,30,14.6,114480,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2997,30,100.699997,26774.800781,'INTEREST CREDITED','OTHER','CREDIT'
2155,25,14.6,20105.5,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
6097,12,728,45087.699219,'LOAN PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
1450,16,14.6,37904.5,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
1450,0,187,41986.800781,'INTEREST CREDITED','OTHER','CREDIT'
5428,0,358.100006,113450,'INTEREST CREDITED','OTHER','CREDIT'
3251,30,14.6,14512.200195,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
1474,6,4043,22617.199219,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
